Tlag_pop,1,0.469324,0.0421566,-0.0484674,-0.899455,-0.503396,-0.035675,0.0622168,0.0881963,0.0661154
ka_pop,0.469324,1,-0.0271025,-0.0833874,-0.448425,-0.110068,-0.041523,0.0368971,0.0368257,0.0576569
V_pop,0.0421566,-0.0271025,1,0.00222496,-0.0200579,-0.026566,0.0376404,0.00307112,-0.0259787,0.0275584
Cl_pop,-0.0484674,-0.0833874,0.00222496,1,0.0575445,0.0705647,-0.000467052,-0.00929513,0.0221508,-0.0328802
omega_Tlag,-0.899455,-0.448425,-0.0200579,0.0575445,1,0.487733,0.0460069,-0.060085,-0.0929014,-0.065018
omega_ka,-0.503396,-0.110068,-0.026566,0.0705647,0.487733,1,0.0263861,-0.0738753,-0.0702378,-0.0807465
omega_V,-0.035675,-0.041523,0.0376404,-0.000467052,0.0460069,0.0263861,1,-0.00254901,-0.0231658,-0.00658089
omega_Cl,0.0622168,0.0368971,0.00307112,-0.00929513,-0.060085,-0.0738753,-0.00254901,1,0.0416041,-0.033796
a,0.0881963,0.0368257,-0.0259787,0.0221508,-0.0929014,-0.0702378,-0.0231658,0.0416041,1,-0.745283
b,0.0661154,0.0576569,0.0275584,-0.0328802,-0.065018,-0.0807465,-0.00658089,-0.033796,-0.745283,1
