Tlag_pop,0.302671,0.101209,0.000960627,-0.00138107,-0.212874,-0.105277,-0.000601203,0.00126216,0.00192737,0.000282151
ka_pop,0.101209,0.153645,-0.00044002,-0.00169293,-0.0756147,-0.0164006,-0.000498562,0.0005333,0.000573375,0.000175309
V_pop,0.000960627,-0.00044002,0.00171557,4.77317e-06,-0.000357393,-0.000418281,4.77562e-05,4.69051e-06,-4.27414e-05,8.85426e-06
Cl_pop,-0.00138107,-0.00169293,4.77317e-06,0.00268263,0.00128216,0.00138933,-7.40999e-07,-1.77524e-05,4.5572e-05,-1.32102e-05
omega_Tlag,-0.212874,-0.0756147,-0.000357393,0.00128216,0.185061,0.0797587,0.000606251,-0.000953111,-0.00158748,-0.000216962
omega_ka,-0.105277,-0.0164006,-0.000418281,0.00138933,0.0797587,0.144503,0.000307246,-0.00103552,-0.00106057,-0.000238098
omega_V,-0.000601203,-0.000498562,4.77562e-05,-7.40999e-07,0.000606251,0.000307246,0.000938304,-2.87914e-06,-2.8187e-05,-1.56369e-06
omega_Cl,0.00126216,0.0005333,4.69051e-06,-1.77524e-05,-0.000953111,-0.00103552,-2.87914e-06,0.00135969,6.09375e-05,-9.66671e-06
a,0.00192737,0.000573375,-4.27414e-05,4.5572e-05,-0.00158748,-0.00106057,-2.8187e-05,6.09375e-05,0.00157782,-0.000229638
b,0.000282151,0.000175309,8.85426e-06,-1.32102e-05,-0.000216962,-0.000238098,-1.56369e-06,-9.66671e-06,-0.000229638,6.0171e-05
