Tlag_pop,0.116829,0.00381408,-3.00146e-06,0.00087222,0.000321585,6.45183e-05,-0.0869622,-0.0172905,-0.000199902,-0.00027062,0.000596188,-5.73116e-05
ka_pop,0.00381408,0.0956804,-0.000764125,0.00102328,-0.00103337,0.000819193,0.00399853,0.0120718,0.000210585,0.000142875,-0.000281646,4.72163e-05
V_pop,-3.00146e-06,-0.000764125,0.00124869,-0.00125133,1.44514e-05,-1.50053e-05,0.000353655,0.000202894,5.5227e-06,-5.0202e-06,-4.22388e-05,1.20773e-05
beta_V_tSex_F,0.00087222,0.00102328,-0.00125133,0.00724034,-1.88035e-05,-1.29385e-06,-0.00119581,-0.000442385,-1.72411e-06,1.01086e-05,-5.67417e-07,-4.84525e-06
Cl_pop,0.000321585,-0.00103337,1.44514e-05,-1.88035e-05,0.00314118,-0.00313677,1.51396e-05,0.000550191,-1.98536e-05,-3.18012e-06,3.6694e-05,-5.83399e-06
beta_Cl_tSex_F,6.45183e-05,0.000819193,-1.50053e-05,-1.29385e-06,-0.00313677,0.0199246,-0.00034514,-0.000725679,2.11319e-05,-3.1184e-05,5.18592e-05,-4.64896e-06
omega_Tlag,-0.0869622,0.00399853,0.000353655,-0.00119581,1.51396e-05,-0.00034514,0.116943,0.0139898,0.000296489,0.000190543,-0.000767474,5.67197e-05
omega_ka,-0.0172905,0.0120718,0.000202894,-0.000442385,0.000550191,-0.000725679,0.0139898,0.0694802,-0.000253742,-0.000195656,-0.000402704,4.06959e-05
omega_V,-0.000199902,0.000210585,5.5227e-06,-1.72411e-06,-1.98536e-05,2.11319e-05,0.000296489,-0.000253742,0.000656055,3.1147e-06,-3.56563e-05,-4.39519e-06
omega_Cl,-0.00027062,0.000142875,-5.0202e-06,1.01086e-05,-3.18012e-06,-3.1184e-05,0.000190543,-0.000195656,3.1147e-06,0.00133407,5.77815e-05,-1.31481e-05
a,0.000596188,-0.000281646,-4.22388e-05,-5.67417e-07,3.6694e-05,5.18592e-05,-0.000767474,-0.000402704,-3.56563e-05,5.77815e-05,0.00146135,-0.000214637
b,-5.73116e-05,4.72163e-05,1.20773e-05,-4.84525e-06,-5.83399e-06,-4.64896e-06,5.67197e-05,4.06959e-05,-4.39519e-06,-1.31481e-05,-0.000214637,5.66332e-05
