Tlag_pop,1,0.0360747,-0.000248501,0.0299896,0.0167871,0.00133725,-0.74399,-0.191912,-0.0228334,-0.0216767,0.045628,-0.0222808
ka_pop,0.0360747,1,-0.0699077,0.0388781,-0.059607,0.018762,0.0378008,0.148057,0.0265794,0.0126461,-0.0238185,0.0202836
V_pop,-0.000248501,-0.0699077,1,-0.416163,0.00729685,-0.00300831,0.029266,0.0217827,0.00610173,-0.00388959,-0.0312685,0.0454156
beta_V_tSex_F,0.0299896,0.0388781,-0.416163,1,-0.00394288,-0.000107724,-0.0410955,-0.0197238,-0.000791073,0.00325253,-0.00017444,-0.00756661
Cl_pop,0.0167871,-0.059607,0.00729685,-0.00394288,1,-0.396499,0.000789918,0.0372423,-0.01383,-0.00155349,0.0171267,-0.013832
beta_Cl_tSex_F,0.00133725,0.018762,-0.00300831,-0.000107724,-0.396499,1,-0.00715013,-0.0195038,0.00584487,-0.0060485,0.0096107,-0.00437649
omega_Tlag,-0.74399,0.0378008,0.029266,-0.0410955,0.000789918,-0.00715013,1,0.155201,0.0338494,0.0152551,-0.0587083,0.0220399
omega_ka,-0.191912,0.148057,0.0217827,-0.0197238,0.0372423,-0.0195038,0.155201,1,-0.0375831,-0.0203223,-0.039965,0.0205156
omega_V,-0.0228334,0.0265794,0.00610173,-0.000791073,-0.01383,0.00584487,0.0338494,-0.0375831,1,0.00332933,-0.0364158,-0.022802
omega_Cl,-0.0216767,0.0126461,-0.00388959,0.00325253,-0.00155349,-0.0060485,0.0152551,-0.0203223,0.00332933,1,0.0413831,-0.047834
a,0.045628,-0.0238185,-0.0312685,-0.00017444,0.0171267,0.0096107,-0.0587083,-0.039965,-0.0364158,0.0413831,1,-0.746091
b,-0.0222808,0.0202836,0.0454156,-0.00756661,-0.013832,-0.00437649,0.0220399,0.0205156,-0.022802,-0.047834,-0.746091,1
