parameter,value,CV,se_sa,rse_sa
Tlag_pop,0.771438750805779,,0.263679942425076,34.1802822517872
ka_pop,1.42775873640368,,0.441637834721607,30.9322453059561
V_pop,8.46609504205801,,0.299165215219173,3.5336859996607
beta_V_tSex_F,-0.382278567256413,,0.0850901726087562,22.2586825150681
Cl_pop,0.134437806143132,,0.00753472722343848,5.60461929542086
beta_Cl_tSex_F,-0.0938365059053137,,0.141154435818998,150.425929074374
omega_Tlag,0.61940678586983,68.385184978931,0.34196954759751,55.2092026433459
omega_ka,0.992834041241909,129.604748563596,0.26359089754432,26.5493412388038
omega_V,0.166818280322244,16.7985605874085,0.025613564608197,15.3541713526355
omega_Cl,0.285345299602576,29.1253382073524,0.0365249350085803,12.8002581642143
a,0.24818990819019,,0.0382275439573807,15.402537611677
b,0.0508665778176092,,0.00752550584274643,14.7945982718366
