ka_pop,0.000936328,0.000816447,-0.00160889,-0.000870752,0.000125518,1.08405e-05,-8.09569e-05,0.00021576,6.25939e-05,-0.00025738,-0.000225161,-0.000749797,4.6792e-05,6.71878e-05,1.87523e-05,2.0465e-06,4.99248e-05,-5.48001e-06
V_pop,0.000816447,0.0010365,-0.00180729,-0.00103653,1.94642e-05,3.427e-05,-6.25585e-05,0.00022004,6.14843e-05,-0.000210281,-0.000281231,-0.000787345,5.10315e-05,9.66796e-05,1.75158e-05,5.06723e-06,6.09143e-05,-6.71386e-06
k_pop,-0.00160889,-0.00180729,0.003794,0.00210505,8.10856e-05,-0.000122704,7.34488e-05,-0.000385982,-9.16677e-05,0.000110081,0.000615384,0.0016006,-0.000102708,-0.000237244,-2.86319e-05,-1.18066e-05,-0.000133004,2.09493e-05
k12_pop,-0.000870752,-0.00103653,0.00210505,0.00177296,0.000283678,-4.96238e-05,0.000113177,-0.000293179,-8.21513e-05,0.00037955,0.000397111,0.000872336,-6.57144e-05,-0.000116505,-2.77494e-05,-4.48293e-06,-9.35352e-05,1.09249e-05
k21_pop,0.000125518,1.94642e-05,8.10856e-05,0.000283678,0.000940194,-9.71056e-05,-5.11151e-05,5.39393e-05,3.24498e-05,-0.000340875,0.000111902,-5.50623e-05,-6.06723e-06,-6.86636e-05,1.55478e-05,-9.2709e-06,-5.56369e-06,5.69972e-07
km_pop,1.08405e-05,3.427e-05,-0.000122704,-4.96238e-05,-9.71056e-05,0.000180194,3.28148e-05,-1.88318e-05,-1.24276e-05,0.000138159,-2.99799e-05,-5.64245e-05,1.56873e-06,3.53971e-05,-3.05519e-06,1.95572e-06,1.8084e-05,-3.68904e-06
Kpm_pop,-8.09569e-05,-6.25585e-05,7.34488e-05,0.000113177,-5.11151e-05,3.28148e-05,7.43977e-05,-4.79684e-05,-2.04076e-05,0.000174254,3.41665e-06,3.62204e-05,-6.34955e-06,2.34001e-05,-5.36662e-06,2.52682e-06,8.42053e-07,-5.5966e-06
omega_ka,0.00021576,0.00022004,-0.000385982,-0.000293179,5.39393e-05,-1.88318e-05,-4.79684e-05,0.000240538,4.60451e-05,-0.000408159,-4.44017e-05,-0.000180137,1.49926e-05,-5.88689e-06,1.07484e-05,-3.01784e-06,1.69577e-05,-1.60232e-06
omega_V,6.25939e-05,6.14843e-05,-9.16677e-05,-8.21513e-05,3.24498e-05,-1.24276e-05,-2.04076e-05,4.60451e-05,0.000123844,-0.000212536,-1.00194e-05,-4.00191e-05,3.48677e-06,-1.09914e-05,5.09525e-06,-2.1501e-06,4.31832e-06,-3.80226e-08
omega_k,-0.00025738,-0.000210281,0.000110081,0.00037955,-0.000340875,0.000138159,0.000174254,-0.000408159,-0.000212536,0.00221527,-0.000135413,0.000115751,-2.17707e-05,0.000136772,-3.94712e-05,1.59248e-05,-2.76596e-05,4.22336e-07
omega_k12,-0.000225161,-0.000281231,0.000615384,0.000397111,0.000111902,-2.99799e-05,3.41665e-06,-4.44017e-05,-1.00194e-05,-0.000135413,0.00059278,0.000103299,-1.87126e-05,-5.51925e-05,-3.44402e-06,-7.74339e-06,-1.04401e-05,-7.14944e-08
omega_k21,-0.000749797,-0.000787345,0.0016006,0.000872336,-5.50623e-05,-5.64245e-05,3.62204e-05,-0.000180137,-4.00191e-05,0.000115751,0.000103299,0.00222779,-5.4397e-05,-0.000152652,-4.63247e-05,-7.97462e-07,-7.75849e-05,1.37288e-05
omega_km,4.6792e-05,5.10315e-05,-0.000102708,-6.57144e-05,-6.06723e-06,1.56873e-06,-6.34955e-06,1.49926e-05,3.48677e-06,-2.17707e-05,-1.87126e-05,-5.4397e-05,9.44243e-05,1.13791e-05,1.33921e-06,-2.04916e-07,8.5808e-06,-2.63661e-06
omega_Kpm,6.71878e-05,9.66796e-05,-0.000237244,-0.000116505,-6.86636e-05,3.53971e-05,2.34001e-05,-5.88689e-06,-1.09914e-05,0.000136772,-5.51925e-05,-0.000152652,1.13791e-05,9.94273e-05,-3.79121e-07,1.57235e-06,1.50602e-05,-4.80965e-06
a1_Cp,1.87523e-05,1.75158e-05,-2.86319e-05,-2.77494e-05,1.55478e-05,-3.05519e-06,-5.36662e-06,1.07484e-05,5.09525e-06,-3.94712e-05,-3.44402e-06,-4.63247e-05,1.33921e-06,-3.79121e-07,2.43802e-05,-6.82727e-06,1.78519e-06,-1.39237e-07
b1_Cp,2.0465e-06,5.06723e-06,-1.18066e-05,-4.48293e-06,-9.2709e-06,1.95572e-06,2.52682e-06,-3.01784e-06,-2.1501e-06,1.59248e-05,-7.74339e-06,-7.97462e-07,-2.04916e-07,1.57235e-06,-6.82727e-06,1.16919e-05,-2.42974e-08,-1.36175e-07
a2_Cm,4.99248e-05,6.09143e-05,-0.000133004,-9.35352e-05,-5.56369e-06,1.8084e-05,8.42053e-07,1.69577e-05,4.31832e-06,-2.76596e-05,-1.04401e-05,-7.75849e-05,8.5808e-06,1.50602e-05,1.78519e-06,-2.42974e-08,0.000172757,-3.56447e-05
b2_Cm,-5.48001e-06,-6.71386e-06,2.09493e-05,1.09249e-05,5.69972e-07,-3.68904e-06,-5.5966e-06,-1.60232e-06,-3.80226e-08,4.22336e-07,-7.14944e-08,1.37288e-05,-2.63661e-06,-4.80965e-06,-1.39237e-07,-1.36175e-07,-3.56447e-05,2.6538e-05
